qid,label,problem,evidence,current_property,current_value,suggested_property,suggested_value,suggested_value_label,alle_kandidaten
Q7406061,saltcrete,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q3317119=Umweltschutzmaßnahmen,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q7448105,self-healing material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q7561,Schnee,moegliche spezifischere Subklasse,description (en) enthaelt 'crystal',P279,Q214609,P279,Q359572,crystal,Q359572=crystal
Q7561,Schnee,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q118733587=type of meteorological phenomenon,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q7580229,Montageschaum,moegliche spezifischere Subklasse,description (en) enthaelt 'building material',P279,Q214609,P279,Q206615,building material,Q206615=building material; Q90733311=polyurethane foam; Q146322=polyurethane; Q16829513=material; Q215414=Schaum
Q759922,Aufschlagmittel,moegliche spezifischere Subklasse,name (en) enthaelt 'foam',P279,Q214609,P279,Q215414,foam,Q215414=foam; Q3514037=tain
Q7624687,strongly correlated material,moegliche spezifischere Subklasse,description (en) enthaelt 'electrical properties',P279,Q214609,P279,Q110583288,electrical properties,Q110583288=electrical properties; Q16829513=material; Q635343=rope
Q7632154,aquarium substrate,moegliche spezifischere Subklasse,name (en) enthaelt 'substrate',P279,Q214609,P279,Q2362275,substrate,Q2362275=substrate; Q436625=substrate; Q8334343=substrate; Q2096056=substrate; Q2578270=substrate
Q7648839,susceptor,moegliche spezifischere Subklasse,description (en) enthaelt 'electromagnet',P279,Q214609,P279,Q178032,electromagnet,Q178032=electromagnet; Q16829513=material; Q11421=magnet
Q7880557,ultralight material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q789683,Auxetisches Material,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
Q7973224,water-reactive substance,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q56256173=Klasse von chemischen Verbindungen mit ähnlichen Anwendungen oder Funktionen,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q7978502,web,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q805282,Ballistische Gelatine,moegliche spezifischere Subklasse,description (en) enthaelt 'medium',P279,Q214609,P279,Q117316442,medium,Q117316442=medium; Q468402=tile; Q3748266=tile
Q811527,Baumberger Kalksandstein,moegliche spezifischere Subklasse,name (de) enthaelt 'Kalksandstein',P279,Q214609,P279,Q1284824,Kalksandstein,Q1284824=Kalksandstein; Q61270797=Kalksandstein; Q13085=Sandstein; Q22731=Stein; Q901731=umber
Q811527,Baumberger Kalksandstein,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q214609=Material,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q81163,Polymer,moegliche spezifischere Subklasse,description (en) enthaelt 'compo',P279,Q214609,P279,Q97794245,compo,Q97794245=compo; Q1574029=Lende; Q5849500=Stoff; Q184624=peat
Q81163,Polymer,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q17339814=Stoffgruppe,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q81623716,tracing cloth,moegliche spezifischere Subklasse,description (en) enthaelt 'starch',P279,Q214609,P279,Q41534,starch,Q41534=starch; Q14674=pencil; Q1426327=linen; Q5849500=cloth; Q5919399=KING
Q82658,Gips,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q12089225=Mineralart,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q831619,Betonzusatzmittel,moegliche spezifischere Subklasse,name (de) enthaelt 'Beton',P279,Q214609,P279,Q22657,Beton,Q22657=Beton
Q85719061,mineral origin material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q886220,Blumenerde,moegliche spezifischere Subklasse,description (en) enthaelt 'medium',P279,Q214609,P279,Q117316442,medium,Q117316442=medium; Q5460003=Mater; Q36133=soil
Q889659,Bodenschatz,moegliche spezifischere Subklasse,description (en) enthaelt 'deposit',P279,Q214609,P279,Q111725350,deposit,Q111725350=deposit; Q3820332=earth; Q36133=Boden; Q3196196=crust; Q991963=crust
Q889659,Bodenschatz,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q131700004=type of natural resource,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q902144,weiche Materie,moegliche spezifischere Subklasse,name (de) enthaelt 'Mater',P279,Q214609,P279,Q5460003,Mater,Q5460003=Mater; Q123190646=Hani
Q906323,zertifiziertes Referenzmaterial,moegliche spezifischere Subklasse,name (de) enthaelt 'Referenzmaterial',P279,Q214609,P279,Q25509247,Referenzmaterial,Q25509247=Referenzmaterial; Q16829513=material; Q5460003=Mater
Q906675,Vulkanfiber,moegliche spezifischere Subklasse,description (de) enthaelt 'Biowerkstoff',P279,Q214609,P279,Q15788728,Biowerkstoff,Q15788728=Biowerkstoff; Q16829513=Werkstoff; Q5849500=Stoff
Q906675,Vulkanfiber,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q214609=Material,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
