qid,label,problem,evidence,current_property,current_value,suggested_property,suggested_value,suggested_value_label,alle_kandidaten
Q112233954,"Copper-aluminium (91% Copper, 9% Aluminium)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q663=aluminium; Q16829513=material; Q753=copper; Q11426=metal
Q112309212,"Nickel brass (79% Copper, 20% Zinc, 1% Nickel)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q6047522=nickel brass; Q16829513=material; Q744=nickel; Q753=copper
Q112310011,"Copper clad aluminium (48% Copper, 52% Aluminium)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q663=aluminium; Q16829513=material; Q753=copper; Q11426=metal
Q112310511,"Bronze (97% Copper, 0.5% Tin, 2.5% Zinc)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q753=copper; Q34095=bronze; Q11426=metal
Q1123417,feuerfester Werkstoff,moegliche spezifischere Subklasse,name (de) enthaelt 'Werkstoff',P279,Q214609,P279,Q16829513,Werkstoff,Q16829513=Werkstoff; Q45621=Keramik; Q175166=tempera; Q97794245=compo; Q5849500=Stoff
Q11236878,Lack,moegliche spezifischere Subklasse,description (en) enthaelt 'powder coating',P279,Q214609,P279,Q44685131,powder coating,Q44685131=powder coating; Q1570182=Beschichtung; Q16829513=material; Q2908004=Pulver; Q5849500=Stoff
Q112651323,optoelectronic material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q112651323,optoelectronic material,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q214609=Material,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q112730895,heterogenous material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q112829710,biosilica,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q1131303,Lehm,moegliche spezifischere Subklasse,description (en) enthaelt 'compo',P279,Q214609,P279,Q97794245,compo,Q97794245=compo; Q34679=Sand; Q36133=soil; Q7098415=opor; Q42302=clay
Q1131303,Lehm,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q10926413=Bodentyp,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q113158687,Moldable wood,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q287=wood
Q113263271,embedding medium,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q1762457=bedding; Q117316442=medium
Q11361800,incombustible material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q113996626,micromaterial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q114081747,Nickel brass clad copper,moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q6047522=nickel brass; Q16829513=material; Q744=nickel; Q753=copper
Q114151272,Aluminium (Etial 30),moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q663=aluminium; Q16829513=material; Q11426=metal; Q190527=alum
Q114162023,"Nickel brass (60% Copper, 20% Nickel, 20% Zinc)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q6047522=nickel brass; Q16829513=material; Q744=nickel; Q753=copper
Q11421,Magnet,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q114210275,"Copper-nickel (Copper 92%, nickel 8%)",moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q744=nickel; Q753=copper; Q11426=metal
Q114267129,Silver (.500),moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q11426=metal
Q114267198,Silver (.100),moegliche spezifischere Subklasse,description (en) enthaelt 'metallic material',P279,Q214609,P279,Q1924900,metallic material,Q1924900=metallic material; Q16829513=material; Q11426=metal
Q11456,Halbleiter,moegliche spezifischere Subklasse,description (en) enthaelt 'electrical conductivity',P279,Q214609,P279,Q4593291,electrical conductivity,Q4593291=electrical conductivity; Q178150=Nichtleiter; Q12767712=insulator; Q16829513=material; Q26717101=Leiter
Q11469,Glas,moegliche spezifischere Subklasse,description (de) enthaelt 'Stoff',P279,Q214609,P279,Q5849500,Stoff,Q5849500=Stoff
Q11469,Glas,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q214609=Material; Q15831577=Nichtklassischer Aggregatzustand; Q63981612=Produktkategorie,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q11474,Kunststoff,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5849500=Stoff
Q11474,Kunststoff,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q1783121=organische Masse,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q1153946,Leinwandbindung,moegliche spezifischere Subklasse,name (de) enthaelt 'Leinwand',P279,Q214609,P279,Q12321255,Leinwand,Q12321255=Leinwand; Q619671=process; Q1391831=thread; Q11180103=Popel; Q3715160=Tuch
Q1155083,granulare Materie,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater; Q1503599=Klei
Q115590870,Massengut,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater; Q1725382=Masse; Q2005160=Nunt
Q115625159,organic binding media,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q131790=adhesive; Q1570182=coating; Q905592=filler; Q11428978=filler
Q116483820,Opuntienleder,moegliche spezifischere Subklasse,description (de) enthaelt 'Feige',P279,Q214609,P279,Q2746643,Feige,Q2746643=Feige; Q286=Leder
Q116483820,Opuntienleder,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q1792537=Kunstleder,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q11660423,electric material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q119828231,new material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q619671=process
Q12021600,inert material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q12046275,polymeric material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q81163=polymer
Q12054798,slime,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q250423=lime
Q120907375,electrochemically active material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q1209132,Diarahmen,moegliche spezifischere Subklasse,description (de) enthaelt 'Klei',P279,Q214609,P279,Q1503599,Klei,Q1503599=Klei
Q12101201,dispersed media,moegliche spezifischere Subklasse,description (en) enthaelt 'medium',P279,Q214609,P279,Q117316442,medium,Q117316442=medium; Q3514037=tain; Q6123113=Seco
Q124695,Wachs,moegliche spezifischere Subklasse,description (en) enthaelt 'plastic',P279,Q214609,P279,Q11474,plastic,Q11474=plastic; Q175166=tempera; Q97794245=compo
Q124695,Wachs,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q41014950=ChEBI Ontology term; Q56256173=Klasse von chemischen Verbindungen mit ähnlichen Anwendungen oder Funktionen,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q125272422,Künstliche Materialien,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
Q125302059,Unbekanntes Material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
Q125302170,Unbestimmtes Material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
Q12541099,Q12541099,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q1969448=Benennung,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q12572660,Q12572660,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater; Q3121375=Kern
Q12572660,Q12572660,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q137424905=type of material,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q126391504,Schrämklein,moegliche spezifischere Subklasse,description (de) enthaelt 'Lende',P279,Q214609,P279,Q1574029,Lende,Q1574029=Lende; Q24489=Kohle; Q2995529=grain; Q1503599=Klei
Q1269650,Dämmstoff,moegliche spezifischere Subklasse,description (de) enthaelt 'Wärmeleitfähigkeit',P279,Q214609,P279,Q487005,Wärmeleitfähigkeit,Q487005=Wärmeleitfähigkeit; Q16829513=material; Q5460003=Mater; Q5849500=Stoff
Q12719558,Q12719558,moegliche spezifischere Subklasse,description (en) enthaelt 'varnish',P279,Q214609,P279,Q81683,varnish,Q81683=varnish; Q11236878=Lack
Q12719558,Q12719558,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q5962346=Klassifikation,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q12767712,Isoliermaterial,moegliche spezifischere Subklasse,description (en) enthaelt 'insulator',P279,Q214609,P279,Q178150,insulator,Q178150=insulator; Q962002=Isolator; Q5460003=Mater; Q3514037=tain; Q12709589=Soun
Q127980,Fette,moegliche spezifischere Subklasse,description (en) enthaelt 'Cronut',P279,Q214609,P279,Q14524937,Cronut,Q14524937=Cronut; Q5849500=Stoff
Q127980,Fette,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q136908428=nutrient group,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q128698437,Span,moegliche spezifischere Subklasse,description (en) enthaelt 'chip',P279,Q214609,P279,Q30703616,chip,Q30703616=chip
Q1297687,structural material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q33123524=support
Q130531030,Kohlepapier,moegliche spezifischere Subklasse,name (de) enthaelt 'Kohle',P279,Q214609,P279,Q24489,Kohle,Q24489=Kohle
Q130757621,plasmonic substrate,moegliche spezifischere Subklasse,name (en) enthaelt 'substrate',P279,Q214609,P279,Q2362275,substrate,Q2362275=substrate; Q436625=substrate; Q8334343=substrate; Q2096056=substrate; Q2578270=substrate
Q13078381,Glaskeramik,moegliche spezifischere Subklasse,description (de) enthaelt 'Werkstoff',P279,Q214609,P279,Q16829513,Werkstoff,Q16829513=Werkstoff; Q45621=Keramik; Q359572=crystal; Q5849500=Stoff; Q11469=Glas
Q131375030,ajiro,moegliche spezifischere Subklasse,description (en) enthaelt 'panel',P279,Q214609,P279,Q1348059,panel,Q1348059=panel; Q106857709=panel; Q287=wood; Q655040=oden
Q131375030,ajiro,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q28823=Textilie; Q1348059=Holztafel; Q72926076=Holzbrett,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q131574951,Gehäusematerial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater; Q128698437=Span; Q1225294=Span; Q85785034=Span
Q13169402,quarantine material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q13174497,bul,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
Q133067,Mosaik,moegliche spezifischere Subklasse,description (en) enthaelt 'colored glass',P279,Q214609,P279,Q135778532,colored glass,Q135778532=colored glass; Q16829513=material; Q11469=glass; Q22731=stone; Q3757650=stone
Q133067,Mosaik,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q11177771=künstlerische Technik; Q116474095=Art eines Kunstwerkes,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q1337073,Leinölkitt,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q1427914=sealant; Q905592=filler; Q34667244=Ölkitt; Q11428978=filler
Q133865035,tenebrescent material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q134895492,thermoplastic paint,moegliche spezifischere Subklasse,name (en) enthaelt 'thermoplastic',P279,Q214609,P279,Q380677,thermoplastic,Q380677=thermoplastic; Q11474=plastic; Q174219=paint
Q13509984,DARVA-Glass,moegliche spezifischere Subklasse,name (en) enthaelt 'glass',P279,Q214609,P279,Q11469,glass,Q11469=glass; Q37756=alloy
Q1354051,flammhemmendes Mittel,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q214609=Material,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q136348599,modified wood,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q287=wood
Q136348599,modified wood,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q3406743=manufactured product,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q136935133,Weld,moegliche spezifischere Subklasse,description (en) enthaelt 'Base metal',P279,Q214609,P279,Q137162607,Base metal,Q137162607=Base metal; Q428855=base metal; Q16829513=material; Q111725350=deposit; Q11426=metal
Q136935133,Weld,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q1924900=Metallischer Werkstoff,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q137373957,engineering material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q137382389,ceramic fabric,moegliche spezifischere Subklasse,description (en) enthaelt 'inclusion',P279,Q214609,P279,Q728944,inclusion,Q728944=inclusion; Q45621=ceramic; Q136764162=fabric; Q42302=clay
Q1374261,Stereom,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q137464088,carbon materials,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q137719740,Bein (Werkstoff),moegliche spezifischere Subklasse,name (de) enthaelt 'Werkstoff',P279,Q214609,P279,Q16829513,Werkstoff,Q16829513=Werkstoff; Q5849500=Stoff
Q137800230,wiederverwendbares Material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
Q137800230,wiederverwendbares Material,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q137424905=type of material,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q1378670,Wertstoff,moegliche spezifischere Subklasse,description (en) enthaelt 'recyclable material',P279,Q214609,P279,Q57305800,recyclable material,Q57305800=recyclable material; Q16829513=material; Q5849500=Stoff
Q1389392,Walzrunden,moegliche spezifischere Subklasse,name (en) enthaelt 'roll',P279,Q214609,P279,Q115499544,roll,Q115499544=roll; Q114023789=roll
Q1398005,Besatzmaterial,moegliche spezifischere Subklasse,description (de) enthaelt 'Paillette',P279,Q214609,P279,Q674273,Paillette,Q674273=Paillette; Q1122919=Posament; Q177496=Besatz; Q5460003=Mater; Q40763=Samen
Q140354071,Etikettenmaterial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q131790=adhesive; Q29000384=Ketten; Q251473=Folie; Q5460003=Mater
Q1408064,Futter,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q136764162=fabric; Q5849500=Stoff; Q1503599=Klei
Q1427914,Dichtstoff,moegliche spezifischere Subklasse,description (de) enthaelt 'Werkstoff',P279,Q214609,P279,Q16829513,Werkstoff,Q16829513=Werkstoff; Q5849500=Stoff
Q1427914,Dichtstoff,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q50413986=Spezialanwendung von Chemikalien,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q1452237,Fritte,moegliche spezifischere Subklasse,description (en) enthaelt 'porous glass',P279,Q214609,P279,Q2105561,porous glass,Q2105561=porous glass; Q11469=Glas; Q1207302=Glas
Q1455598,frequenzselektive Oberfläche,moegliche spezifischere Subklasse,description (de) enthaelt 'Elektromagnet',P279,Q214609,P279,Q178032,Elektromagnet,Q178032=Elektromagnet; Q11421=Magnet
Q145958,Polyimide,moegliche spezifischere Subklasse,description (de) enthaelt 'Polymer',P279,Q214609,P279,Q81163,Polymer,Q81163=Polymer; Q4173974=Aroma
Q145958,Polyimide,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q47154513=Strukturklasse von chemischen Verbindungen,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q1505624,Siegellack,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q1725382=Masse; Q11236878=Lack; Q145205=Harz
Q1514145,Leonische Waren,moegliche spezifischere Subklasse,description (de) enthaelt 'Messing',P279,Q214609,P279,Q39782,Messing,Q39782=Messing; Q551997=Draht
Q152079,Asche,moegliche spezifischere Subklasse,description (en) enthaelt 'waste product',P279,Q214609,P279,Q319936,waste product,Q319936=waste product; Q45701=waste; Q5460003=Mater
Q1529908,Hüpfender Kitt,moegliche spezifischere Subklasse,description (de) enthaelt 'Knetmasse',P279,Q214609,P279,Q60121,Knetmasse,Q60121=Knetmasse; Q840688=Knetmasse; Q146439=silicone; Q81163=polymer; Q1337073=putty
Q1529908,Hüpfender Kitt,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q167270=Markenzeichen,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q15303351,Künstlerbedarf,moegliche spezifischere Subklasse,description (en) enthaelt 'ingredient',P279,Q214609,P279,Q10675206,ingredient,Q10675206=ingredient; Q16829513=material; Q5460003=Mater
Q1550712,Grundstoff,moegliche spezifischere Subklasse,description (en) enthaelt 'raw material',P279,Q214609,P279,Q192355,raw material,Q192355=raw material; Q28213828=commodity; Q16829513=material; Q5460003=Mater; Q5849500=Stoff
Q1550712,Grundstoff,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q63981612=Produktkategorie,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q15727343,organische nicht-mineralische Verbindung,moegliche spezifischere Subklasse,name (en) enthaelt 'compo',P279,Q214609,P279,Q97794245,compo,Q97794245=compo
Q15727345,anorganische nicht-mineralische Verbindung,moegliche spezifischere Subklasse,name (de) enthaelt 'organische nicht-mineralische Verbindung',P279,Q214609,P279,Q15727343,organische nicht-mineralische Verbindung,Q15727343=organische nicht-mineralische Verbindung; Q97794245=compo
Q15809796,Flicken,moegliche spezifischere Subklasse,description (de) enthaelt 'Mater',P279,Q214609,P279,Q5460003,Mater,Q5460003=Mater; Q5849500=Stoff
Q15825043,Laichsubstrat,moegliche spezifischere Subklasse,name (de) enthaelt 'Substrat',P279,Q214609,P279,Q2362275,Substrat,Q2362275=Substrat; Q8334343=Substrat
Q15903075,macromolecular materials,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q15903075,macromolecular materials,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q214609=Material,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q162908,Elektrolyt,moegliche spezifischere Subklasse,description (en) enthaelt 'medium',P279,Q214609,P279,Q117316442,medium,Q117316442=medium
Q162908,Elektrolyt,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q79529=chemischer Stoff,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q16331076,anisotropic material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q16331841,Supraleiter,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q175166=Tempera; Q26717101=Leiter; Q5460003=Mater
Q1658591,Verfälschungsmittel,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q133177856=Regulierungsklasse chemischer Stoffe,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q1664299,Inokulum,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q1681365,Verbrauchsmaterial,moegliche spezifischere Subklasse,name (de) enthaelt 'Mater',P279,Q214609,P279,Q5460003,Mater,Q5460003=Mater
Q1681365,Verbrauchsmaterial,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q137424905=type of material; Q137425179=type of good,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q16829513,Werkstoff,moegliche spezifischere Subklasse,description (en) enthaelt 'process',P279,Q214609,P279,Q619671,process,Q619671=process; Q5460003=Mater; Q5849500=Stoff
Q1696452,Schlichtkleid,moegliche spezifischere Subklasse,name (de) enthaelt 'Klei',P279,Q214609,P279,Q1503599,Klei,Q1503599=Klei
Q1696452,Schlichtkleid,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q1811014=Lebensphase; Q3303665=Gefieder,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q17009658,Garnier,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q45701=waste; Q5460003=Mater; Q6958744=Nage
Q17083616,vivarium substrate,moegliche spezifischere Subklasse,name (en) enthaelt 'substrate',P279,Q214609,P279,Q2362275,substrate,Q2362275=substrate; Q436625=substrate; Q8334343=substrate; Q2096056=substrate; Q2578270=substrate
Q17162844,body piercing material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q1726215,Prozesswerkstoff,moegliche spezifischere Subklasse,name (de) enthaelt 'Werkstoff',P279,Q214609,P279,Q16829513,Werkstoff,Q16829513=Werkstoff; Q619671=process; Q5849500=Stoff; Q635343=rope
Q174219,Malfarbe,moegliche spezifischere Subklasse,description (en) enthaelt 'pigment',P279,Q214609,P279,Q161179,pigment,Q161179=pigment; Q2908004=Pulver; Q5849500=Stoff
Q174219,Malfarbe,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q137424905=type of material,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q177496,Besatz,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q4167410=Wikimedia-Begriffsklärungsseite,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q1778506,Kohlegrus,moegliche spezifischere Subklasse,name (de) enthaelt 'Kohle',P279,Q214609,P279,Q24489,Kohle,Q24489=Kohle
Q1792430,Kunstharzfarbe,moegliche spezifischere Subklasse,name (de) enthaelt 'Kunstharz',P279,Q214609,P279,Q1418040,Kunstharz,Q1418040=Kunstharz; Q145205=Harz
Q1792430,Kunstharzfarbe,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q79529=chemischer Stoff,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q1792537,Kunstleder,moegliche spezifischere Subklasse,description (en) enthaelt 'man-made material',P279,Q214609,P279,Q125272422,man-made material,Q125272422=man-made material; Q16829513=material; Q5460003=Mater; Q286=Leder; Q635343=rope
Q18027753,Schutt,moegliche spezifischere Subklasse,description (en) enthaelt 'accumulation',P279,Q214609,P279,Q116844065,accumulation,Q116844065=accumulation; Q8063=Gestein; Q22731=Stein; Q3757650=Stein; Q16490638=angu
Q1806889,Latentwärmespeicher,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q10971235=Kissen; Q99895=Kissen
Q18106590,fictional materials in the Stargate franchise,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q181790,Verbundwerkstoff,moegliche spezifischere Subklasse,name (de) enthaelt 'Werkstoff',P279,Q214609,P279,Q16829513,Werkstoff,Q16829513=Werkstoff; Q5460003=Mater; Q97794245=compo; Q5849500=Stoff
Q181790,Verbundwerkstoff,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q137424905=type of material,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q18218093,Radierung,moegliche spezifischere Subklasse,name (en) enthaelt 'etching',P279,Q214609,P279,Q186986,etching,Q186986=etching; Q9208434=Druck
Q18378458,2D-Materialien,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q359572=crystal; Q5460003=Mater
Q18457359,reduced-activation material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q1857284,nerve channel filling,moegliche spezifischere Subklasse,name (en) enthaelt 'filling',P279,Q214609,P279,Q11332507,filling,Q11332507=filling
Q18667172,Hartfaserplatte,moegliche spezifischere Subklasse,description (en) enthaelt 'cellulose fiber',P279,Q214609,P279,Q189109,cellulose fiber,Q189109=cellulose fiber; Q1397443=Faserplatte; Q29526929=Zellulose; Q1781014=compress; Q3827429=Platte
Q186752,Allergen,moegliche spezifischere Subklasse,description (en) enthaelt 'goro',P279,Q214609,P279,Q1345626,goro,Q1345626=goro
Q186752,Allergen,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q111360549=Objektart,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q186986,Radierung,moegliche spezifischere Subklasse,description (de) enthaelt 'Druck',P279,Q214609,P279,Q9208434,Druck,Q9208434=Druck; Q5919399=KING
Q186986,Radierung,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q11177771=künstlerische Technik,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q1889369,Neutronenreflektor,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q189082,Zellkultur,moegliche spezifischere Subklasse,description (en) enthaelt 'process',P279,Q214609,P279,Q619671,process,Q619671=process; Q115499544=roll; Q374381=Flan; Q114023789=roll
Q189082,Zellkultur,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q3247516=Labormethode,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q189720,Farbstoff,moegliche spezifischere Subklasse,description (en) enthaelt 'natural material',P279,Q214609,P279,Q2451477,natural material,Q2451477=natural material; Q16829513=material; Q5460003=Mater; Q5849500=Stoff
Q189720,Farbstoff,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q100434640=class of chemical substances by use,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q1899373,flower food,moegliche spezifischere Subklasse,name (en) enthaelt 'food',P279,Q214609,P279,Q2095,food,Q2095=food
Q190527,Alaun,moegliche spezifischere Subklasse,description (de) enthaelt 'Aluminium',P279,Q214609,P279,Q663,Aluminium,Q663=Aluminium; Q703=Kalium
