abschnitt,pid,label,datatype,gefuellt,luecke,anteil_prozent,in_property_map,quellen,mp_quelle
Physics,P2054,Dichte,quantity,0,10,0.0,density,"MP, WPde-Chem, WPen-Chem",ja
Physics,P556,Kristallsystem,wikibase-item,0,10,0.0,crystal_system,"COD, MP",ja
Physics,P690,Raumgruppe,wikibase-item,0,10,0.0,space_group,COD,nein
Physics,P589,Punktgruppe,wikibase-item,0,10,0.0,point_group,"COD, WD",nein
Mechanical,P5480,Elastizitätsmodul,quantity,0,10,0.0,tensile_modulus,,nein
Mechanical,P5479,Zugfestigkeit,quantity,0,10,0.0,ultimate_tensile_strength,,nein
Mechanical,P5529,Fließgrenze,quantity,0,10,0.0,yield_strength,,nein
Mechanical,P5483,Härte,quantity,0,10,0.0,hardness,,nein
Mechanical,P1088,Härte nach Mohs,quantity,0,10,0.0,mohs_hardness,,nein
Mechanical,P2118,kinematische Viskosität,quantity,0,10,0.0,kinematic_viscosity,,nein
Mechanical,P3070,dynamische Viskosität,quantity,0,10,0.0,dynamic_viscosity,,nein
Mechanical,P5520,Zähigkeit,quantity,0,10,0.0,toughness,,nein
Mechanical,P5593,Poissonzahl,quantity,0,10,0.0,poisson_ratio,MP,ja
Mechanical,P5575,Reibungskoeffizient,quantity,0,10,0.0,coefficient_of_friction,,nein
Mechanical,P2075,Schallgeschwindigkeit,quantity,0,10,0.0,speed_of_sound,,nein
Mechanical,P5608,Dauerfestigkeit,quantity,0,10,0.0,fatigue_limit,,nein
Mechanical,P5669,Druckfestigkeit,quantity,0,10,0.0,compressive_strength,,nein
Mechanical,P5668,Kompressionsmodul,quantity,0,10,0.0,bulk_modulus,MP,ja
Mechanical,P5681,Biegemodul,quantity,0,10,0.0,flexural_modulus,,nein
Mechanical,P5677,Biegefestigkeit,quantity,0,10,0.0,flexural_strength,,nein
Mechanical,P5673,Schubmodul,quantity,0,10,0.0,shear_modulus,MP,ja
Mechanical,P5685,Reißfestigkeit,quantity,0,10,0.0,tear_resistance,,nein
Mechanical,P5709,Abriebfestigkeit,quantity,0,10,0.0,abrasion_resistance,,nein
Mechanical,P5708,force,quantity,0,10,0.0,force,,nein
Mechanical,P5706,Scherfestigkeit,quantity,0,10,0.0,shear_strength,,nein
Mechanical,P5811,Bruchdehnung,quantity,0,10,0.0,elongation_at_break,,nein
Mechanical,P5993,compressive modulus of elasticity,quantity,0,10,0.0,compressive_modulus,,nein
Mechanical,P6014,flexural strain at break,quantity,0,10,0.0,flexural_strain_at_break,,nein
Thermal,P2101,Schmelzpunkt,quantity,0,10,0.0,melting_point,"WPde-Chem, WPen-Chem",nein
Thermal,P2102,Siedepunkt,quantity,0,10,0.0,boiling_point,"WPde-Chem, WPen-Chem",nein
Thermal,P2068,Wärmeleitfähigkeit,quantity,0,10,0.0,thermal_conductivity,,nein
Thermal,P2128,Flammpunkt,quantity,0,10,0.0,flash_point,,nein
Thermal,P2056,spezifische Wärmekapazität,quantity,0,10,0.0,specific_heat_capacity,,nein
Thermal,P2199,Zündtemperatur,quantity,0,10,0.0,autoignition_temperature,,nein
Thermal,P2113,Sublimationstemperatur,quantity,0,10,0.0,sublimation_temperature,,nein
Thermal,P5066,Betriebstemperatur,quantity,0,10,0.0,operating_temperature,,nein
Thermal,P1295,Emissionsgrad,quantity,0,10,0.0,emissivity,,nein
Thermal,P994,NFPA-Code für Brandgefahr,string,0,10,0.0,nfpa_fire,,nein
Thermal,P5672,Längenausdehnungskoeffizient,quantity,0,10,0.0,linear_thermal_expansion,,nein
Thermal,P5670,Glasübergangstemperatur,quantity,0,10,0.0,glass_transition_temperature,,nein
Thermal,P5682,Wärmeformbeständigkeitstemperatur,quantity,0,10,0.0,heat_deflection_temperature,,nein
Thermal,P5674,Temperaturleitfähigkeit,quantity,0,10,0.0,thermal_diffusivity,,nein
Thermal,P5947,Vicat softening point,quantity,0,10,0.0,vicat_softening_point,,nein
Chemical,P2178,Lösungsmittel,wikibase-item,0,10,0.0,solvent,,nein
Chemical,P234,InChI,external-id,0,10,0.0,inchi,,nein
Chemical,P117,chemische Struktur,commonsMedia,0,10,0.0,chemical_structure,,nein
Chemical,P274,chemische Formel,string,0,10,0.0,chemical_formula,,nein
Chemical,P527,besteht aus,wikibase-item,0,10,0.0,has_part,(Formel),nein
Chemical,P361,ist Teil von,wikibase-item,0,10,0.0,part_of,,nein
Chemical,P5448,oberer Grenzwert,quantity,0,10,0.0,upper_limit,,nein
Chemical,P5447,unterer Grenzwert,quantity,0,10,0.0,lower_limit,,nein
Chemical,P1107,Anteil,quantity,0,10,0.0,proportion,,nein
Chemical,P5594,Feuchtigkeitsaufnahme,quantity,0,10,0.0,moisture_absorption,,nein
Chemical,P4600,Polymer aus,wikibase-item,0,10,0.0,polymer_of,,nein
Chemical,P4599,Monomer von,wikibase-item,0,10,0.0,monomer_of,,nein
Chemical,P6073,Permeabilität,quantity,0,10,0.0,permeability,,nein
Chemical,P5624,PREN,quantity,0,10,0.0,pren,,nein
Chemical,P9824,COD ID,external-id,0,10,0.0,cod_id,COD,nein
Chemical,P231,CAS-Nummer,external-id,0,10,0.0,cas_number,"WPde-Chem, WPen-Chem",nein
Chemical,P3078,Standardbildungsenthalpie,quantity,0,10,0.0,formation_enthalpy,NIST,nein
