status,source,qid,label,property,value,value_label,datatype,unit_qid,formula,bestimmungsmethode,kandidaten,entry_id,ref_mode,ref_doi,ref_isbn,ref_url,ref_retrieved,ref_note
BEREITS_VORHANDEN,Wikipedia (de),Q409762,Polyacrylsäure,P231 (CAS-Nummer),9003-01-4,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Infobox-Feld 'CAS'
BEREITS_VORHANDEN,Wikipedia (en),Q737169,Natriumpolyacrylat,P2054 (Dichte),1.22,,quantity,Q13147228,,P2076=20U25267 (20 °C),,,Wikimedia-Import,,,https://en.wikipedia.org/w/index.php?title=Sodium_polyacrylate&oldid=1340417955,2026-08-30,Chembox-Feld 'Density'
BEREITS_VORHANDEN,Wikipedia (en),Q737169,Natriumpolyacrylat,P231 (CAS-Nummer),9003-04-7,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Chembox-Feld 'CASNo'
VORSCHLAG,COD,Q2080808,Bisphenol-A-diglycidylether,P9824 (COD-ID),1550379,,external-id,,C21 H24 O4,,,cod-1550379,ohne Beleg (Identifikator),,,,,"COD 1550379; Chemical Science, 2019, T = 296 K"
MANUELLE_KLAERUNG_NOETIG (keine eindeutige Modifikation: Raumgruppe 14 nur in 6 von 12 COD-Eintraegen),COD,Q2080808,Bisphenol-A-diglycidylether,P690 (Raumgruppe),Q13365573,Raumgruppe 14,item,,C21 H24 O4,,,cod-1550379,DOI,10.1039/C8SC04277B,,https://doi.org/10.1039/C8SC04277B,,"COD 1550379; Chemical Science, 2019, T = 296 K"
MANUELLE_KLAERUNG_NOETIG (keine eindeutige Modifikation: Raumgruppe 14 nur in 6 von 12 COD-Eintraegen),COD,Q2080808,Bisphenol-A-diglycidylether,P589 (Punktgruppe),Q13364114,Monoklin-prismatisch,item,,C21 H24 O4,,,cod-1550379,DOI,10.1039/C8SC04277B,,https://doi.org/10.1039/C8SC04277B,,"COD 1550379; Chemical Science, 2019, T = 296 K"
MANUELLE_KLAERUNG_NOETIG (keine eindeutige Modifikation: Raumgruppe 14 nur in 6 von 12 COD-Eintraegen),COD,Q2080808,Bisphenol-A-diglycidylether,P556 (Kristallsystem),Q624543,monoklines Kristallsystem,item,,C21 H24 O4,,,cod-1550379,DOI,10.1039/C8SC04277B,,https://doi.org/10.1039/C8SC04277B,,"COD 1550379; Chemical Science, 2019, T = 296 K"
VORSCHLAG,Wikipedia (de),Q2080808,Bisphenol-A-diglycidylether,P2054 (Dichte),1.16,,quantity,Q13147228,,P2076=20U25267 (20 °C),,,Wikimedia-Import,,,https://de.wikipedia.org/w/index.php?title=Bisphenol-A-diglycidylether&oldid=264478332,2026-08-30,Infobox-Feld 'Dichte'
BEREITS_VORHANDEN,Wikipedia (de),Q2080808,Bisphenol-A-diglycidylether,P231 (CAS-Nummer),1675-54-3,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Infobox-Feld 'CAS'
VORSCHLAG,Wikipedia (en),Q7226867,Polypropylencarbonat,P231 (CAS-Nummer),50862-75-4,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Chembox-Feld 'CASNo'
BEREITS_VORHANDEN,Wikipedia (de),Q30765158,Styrol-Butadien-Styrol,P231 (CAS-Nummer),91261-65-3,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Infobox-Feld 'CAS'
BEREITS_VORHANDEN,Wikipedia (de),Q66421202,Polyvinylcarbazol,P231 (CAS-Nummer),25067-59-8,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Infobox-Feld 'CAS'
VORSCHLAG,COD,Q27291479,bisphenol F diglycidyl ether,P9824 (COD-ID),1552662,,external-id,,C19 H20 O4,,,cod-1552662,ohne Beleg (Identifikator),,,,,"COD 1552662; Journal of natural products, 2019, T = 170 K"
MANUELLE_KLAERUNG_NOETIG (keine eindeutige Modifikation: Raumgruppe 19 nur in 7 von 20 COD-Eintraegen),COD,Q27291479,bisphenol F diglycidyl ether,P690 (Raumgruppe),Q13371295,Raumgruppe 19,item,,C19 H20 O4,,,cod-1552662,DOI,10.1021/acs.jnatprod.9b00059,,https://doi.org/10.1021/acs.jnatprod.9b00059,,"COD 1552662; Journal of natural products, 2019, T = 170 K"
MANUELLE_KLAERUNG_NOETIG (keine eindeutige Modifikation: Raumgruppe 19 nur in 7 von 20 COD-Eintraegen),COD,Q27291479,bisphenol F diglycidyl ether,P589 (Punktgruppe),Q13364032,Orthorhombisch-disphenoidisch,item,,C19 H20 O4,,,cod-1552662,DOI,10.1021/acs.jnatprod.9b00059,,https://doi.org/10.1021/acs.jnatprod.9b00059,,"COD 1552662; Journal of natural products, 2019, T = 170 K"
MANUELLE_KLAERUNG_NOETIG (keine eindeutige Modifikation: Raumgruppe 19 nur in 7 von 20 COD-Eintraegen),COD,Q27291479,bisphenol F diglycidyl ether,P556 (Kristallsystem),Q648961,orthorhombisches Kristallsystem,item,,C19 H20 O4,,,cod-1552662,DOI,10.1021/acs.jnatprod.9b00059,,https://doi.org/10.1021/acs.jnatprod.9b00059,,"COD 1552662; Journal of natural products, 2019, T = 170 K"
VORSCHLAG,COD,Q72437097,p-tert-butylphenol-formaldehyde resin,P9824 (COD-ID),4127471,,external-id,,C11 H16 O2,,,cod-4127471,ohne Beleg (Identifikator),,,,,"COD 4127471; Journal of the American Chemical Society, 2019, T = 150 K"
MANUELLE_KLAERUNG_NOETIG (keine eindeutige Modifikation: Raumgruppe 4 nur in 5 von 14 COD-Eintraegen),COD,Q72437097,p-tert-butylphenol-formaldehyde resin,P690 (Raumgruppe),Q13365444,Raumgruppe 4,item,,C11 H16 O2,,,cod-4127471,DOI,10.1021/jacs.9b03679,,https://doi.org/10.1021/jacs.9b03679,,"COD 4127471; Journal of the American Chemical Society, 2019, T = 150 K"
MANUELLE_KLAERUNG_NOETIG (keine eindeutige Modifikation: Raumgruppe 4 nur in 5 von 14 COD-Eintraegen),COD,Q72437097,p-tert-butylphenol-formaldehyde resin,P589 (Punktgruppe),Q13364108,Monoklin-sphenoidisch,item,,C11 H16 O2,,,cod-4127471,DOI,10.1021/jacs.9b03679,,https://doi.org/10.1021/jacs.9b03679,,"COD 4127471; Journal of the American Chemical Society, 2019, T = 150 K"
MANUELLE_KLAERUNG_NOETIG (keine eindeutige Modifikation: Raumgruppe 4 nur in 5 von 14 COD-Eintraegen),COD,Q72437097,p-tert-butylphenol-formaldehyde resin,P556 (Kristallsystem),Q624543,monoklines Kristallsystem,item,,C11 H16 O2,,,cod-4127471,DOI,10.1021/jacs.9b03679,,https://doi.org/10.1021/jacs.9b03679,,"COD 4127471; Journal of the American Chemical Society, 2019, T = 150 K"
VORSCHLAG,Wikipedia (en),Q72437097,p-tert-butylphenol-formaldehyde resin,P2101 (Schmelzpunkt),353.15,,quantity,Q11579,,,,,Wikimedia-Import,,,https://en.wikipedia.org/w/index.php?title=Para_tertiary_butylphenol_formaldehyde_resin&oldid=1291864500,2026-08-30,Chembox-Feld 'MeltingPtC' (in Kelvin)
BEREITS_VORHANDEN,Wikipedia (en),Q72437097,p-tert-butylphenol-formaldehyde resin,P231 (CAS-Nummer),25085-50-1,,external-id,,,,,,ohne Beleg (Identifikator),,,,,Chembox-Feld 'CASNo'
